RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
1505,1234,1711,7,48,1,1,1,15,4623,50,1,4,9:30 AM,10:45 AM,1,8,,,,,5,10,,,,,,2,1,2,2,1,1,2,5,3,3,4,4,4,6,6,6,6,6,5,6,6,4,,,,5,5,6,6,4,5,,,,5,,,,2,2,2,2,2,,,,5,5,3,3,2,,,,1,SAN FRANCISCO,94110,US,1,3,1,2,2,2,2,1,1.266708
1506,1235,1711,7,48,1,1,1,15,4623,50,1,4,9:30 AM,10:45 AM,2,8,,,,,4,10,,,,,,1,2,2,2,1,1,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,,,,5,5,5,5,3,5,,,,4,,,,2,1,2,1,2,,,,5,5,5,5,2,,,,3,GUADALAJARA,,MEXICO,14,3,2,1,1,0,1,1,1.266708
1507,1236,1711,7,48,1,1,1,15,4623,50,1,4,9:15 AM,10:45 AM,1,8,,,,,2,10,,,,,,1,2,2,1,3,4,2,4,4,4,4,4,4,3,3,5,4,4,4,2,6,4,2,102,,4,4,6,3,2,4,,,,5,96,6,,1,2,3,2,1,4,,,6,5,5,5,2,,,,1,REDWOOD CITY,94065,US,2,5,2,3,2,1,2,1,1.266708
1508,1237,1711,7,48,1,1,1,15,4623,50,1,4,9:50 AM,10:45 AM,2,3,8,,,,2,10,,,,,,1,1,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,,,5,5,5,5,5,5,89,,,5,26,,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,ATLANTA,30028,US,12,1,2,1,2,2,2,1,1.266708
1509,743,1816,8,70,3,2,1,33,5529,6,3,2,4:40 PM,6:05 PM,1,8,,,,,12,10,,,,,,1,1,2,1,1,4,1,6,3,3,4,6,4,6,6,2,6,6,6,6,6,4,,,,4,6,6,6,4,4,89,,,5,4,3,,2,2,1,2,1,2,6,,5,5,5,3,1,28,,,3,BETHESDA,20813,US,12,4,1,4,1,2,2,1,1.870831
1510,744,1816,8,70,3,2,1,33,5529,6,3,2,4:00 PM,6:05 PM,1,8,,,,,1,10,,,,,0,2,2,1,2,4,4,1,6,3,6,4,2,4,6,6,4,3,3,6,4,6,4,,,,3,6,6,3,4,0,,,,4,20,10,,2,2,2,2,2,,,,3,4,4,4,2,,,,1,TIBURON,94902,US,6,7,2,0,1,2,1,1,1.870831
1511,745,1816,8,70,3,2,1,33,5529,6,3,2,4:30 PM,6:05 PM,3,8,,,,,2,10,,,,,,2,2,1,2,3,4,1,6,4,6,5,4,5,6,6,6,6,6,6,6,6,5,900,,,4,6,6,4,5,5,89,,,5,3,,,2,2,2,2,2,,,,6,5,5,5,2,,,,1,MENLO PARK,94025,US,2,5,2,1,2,1,2,1,1.870831
1512,746,1816,8,70,3,2,1,33,5529,6,3,2,3:00 PM,6:05 PM,1,8,,,,,8,10,,,,,,2,2,1,2,1,4,1,6,3,6,4,4,6,6,6,6,5,6,4,6,4,4,,,,3,3,3,2,3,3,4,45,,5,1,,,2,2,2,2,2,,,,12,5,5,3,2,,,,3,AUSTIN,78730,US,11,7,1,4,2,1,2,1,1.870831
1513,747,1816,8,70,3,2,1,33,5529,6,3,2,3:00 PM,6:05 PM,1,8,,,,,4,10,,,,,,2,1,1,1,2,2,1,6,4,6,2,4,4,6,6,4,6,6,6,6,6,4,161,,,4,6,6,3,2,3,21,,,5,1,,,2,2,2,2,1,7,,,12,4,5,4,2,,,,3,AUSTIN,78726,US,11,4,1,0,2,1,2,1,1.870831
1514,748,1816,8,70,3,2,1,33,5529,6,3,2,4:00 PM,6:05 PM,1,8,,,,,8,10,,,,,,2,2,2,1,5,4,1,3,6,6,4,4,4,6,6,3,4,6,4,6,4,4,,,,4,4,4,4,4,4,,,,5,5,,,1,2,2,2,1,3,,,6,4,4,4,2,,,,3,AUSTIN,78732,US,11,5,1,4,1,1,2,1,1.870831
1515,749,1816,8,70,3,2,1,33,5529,6,3,2,4:10 PM,6:05 PM,1,8,,,,,8,10,,,,,,1,1,1,1,3,2,2,2,2,2,3,3,3,3,3,4,1,6,4,6,4,3,,,,4,4,4,2,3,3,,,,4,,,,2,2,2,2,1,,,,7,3,3,4,2,,,,3,SINGAPORE,,SINGAPORE,16,4,1,4,1,2,2,1,1.870831
1516,750,1816,8,70,3,2,1,33,5529,6,3,2,3:45 PM,6:05 PM,1,8,,,,,3,10,,,,,,2,2,1,2,3,3,2,4,5,3,3,3,4,6,6,6,6,6,6,6,4,4,,,,4,6,6,4,4,4,,,,5,,,,2,2,2,2,2,,,,11,5,4,6,2,,,,3,AUSTIN,78754,US,11,4,1,3,2,1,1,1,1.870831
1517,751,1816,8,70,3,2,1,33,5529,6,3,2,5:00 PM,6:05 PM,1,8,,,,,8,10,,,,,,0,0,1,1,3,4,1,3,4,3,4,4,4,6,6,5,4,6,6,6,4,4,,,,3,6,4,4,3,3,,,,4,,,,2,2,2,2,1,,,,7,4,4,4,2,,,,3,AUSTIN,78642,US,11,5,1,0,2,1,1,1,1.870831
1518,752,1816,8,70,3,2,1,33,5529,6,3,2,2:15 PM,6:05 PM,2,8,,,,,3,10,,,,,,2,1,1,2,2,1,2,4,4,3,5,4,5,4,4,6,5,6,4,6,2,4,180,,,4,4,3,5,4,4,,,,5,4,12,,2,2,2,2,2,,,,11,6,5,6,3,,,,3,AUSTIN,78731,US,11,3,1,2,2,2,2,1,1.870831
1519,753,1816,8,70,3,2,1,33,5529,6,3,2,2:30 PM,6:05 PM,2,8,,,,,3,10,,,,,,2,2,1,1,2,1,2,5,4,3,3,4,3,3,3,4,3,6,6,6,6,5,,,,5,6,6,3,4,4,,,,4,2,,,2,2,2,1,1,7,,,11,5,5,5,2,,,,3,AUSTIN,78731,US,11,3,2,2,2,2,2,1,1.870831
1520,754,1816,8,70,3,2,1,33,5529,6,3,2,4:30 PM,6:05 PM,1,8,,,,,8,10,,,,,,1,1,1,1,4,2,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,,,,4,,,,2,2,2,2,2,,,,12,4,4,4,0,,,,3,,,,99,5,1,3,2,1,2,1,1.870831
1521,755,1816,8,70,3,2,1,33,5529,6,3,2,4:00 PM,6:05 PM,1,8,,,,,1,10,,,,,1,1,2,1,1,5,4,2,3,3,3,4,4,4,6,6,3,3,3,4,6,3,3,910,,,3,4,4,3,3,3,,,,4,,,,2,2,2,2,1,,,,3,3,3,4,2,,,,1,MILL VALLEY,,US,6,4,1,4,1,2,2,1,1.870831
1522,756,1816,8,70,3,2,1,33,5529,6,3,2,8:00 AM,6:05 PM,2,3,8,,,,2,10,,,,,,2,1,2,2,4,3,2,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,,,,5,4,5,5,4,5,,,,4,,,,2,2,2,2,2,,,,7,4,4,5,2,,,,3,AUSTIN,78613,US,11,5,2,3,1,1,2,1,1.870831
1523,1136,1708,7,45,1,2,1,15,580,4,2,4,3:30 AM,6:00 AM,1,8,,,,,2,10,,,,,,1,1,1,0,1,1,1,5,5,6,3,0,6,6,6,6,6,6,6,6,6,5,217,160,,5,6,6,0,5,5,,,,5,29,,,2,2,2,2,2,,,,8,5,4,5,1,18,9,,1,FAIRFIELD,94535,US,8,4,1,5,2,2,2,1,1.266708
1524,1137,1708,7,45,1,2,1,15,580,4,2,4,4:30 AM,6:00 AM,2,8,,,,,7,10,,,,,,1,2,2,2,1,3,1,4,6,6,3,3,5,6,6,6,6,6,6,6,6,4,,,,4,6,6,6,6,3,,,,5,1,,,2,2,2,2,2,,,,3,5,3,3,2,,,,3,BROOKINGS,97415,US,10,7,2,5,2,2,2,1,1.266708
1525,1138,1708,7,45,1,2,1,15,580,4,2,4,3:45 AM,6:00 AM,2,8,,,,,2,10,,,,,,1,1,2,4,3,4,1,4,4,3,5,4,4,4,4,2,4,4,4,4,6,4,1,911,,4,4,6,4,5,4,,,,5,2,,,2,2,2,2,1,,,,9,5,5,5,2,,,,1,SANTA ROSA,95404,US,7,5,1,5,2,2,2,1,1.266708
1526,1139,1708,7,45,1,2,1,15,580,4,2,4,5:15 AM,6:00 AM,1,8,,,,,12,10,,,,,,2,2,2,2,4,4,1,4,3,3,4,4,4,6,6,5,4,3,6,6,6,4,235,,,4,6,6,4,4,4,,,,5,1,,,2,2,2,2,1,,,,6,5,5,3,2,,,,1,LOS ALTOS,94022,US,4,6,2,0,2,1,2,1,1.266708
1527,1140,1708,7,45,1,2,1,15,580,4,2,4,4:45 AM,6:00 AM,3,8,,,,,2,10,,,,,,1,2,2,2,1,4,1,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,262,,,5,6,6,6,5,5,,,,5,5,,,2,2,2,2,2,,,,1,5,5,5,2,,,,3,PITSFIELD,1201,US,12,3,1,0,2,2,2,1,1.266708
1528,1141,1708,7,45,1,2,1,15,580,4,2,4,4:30 AM,6:00 AM,3,8,,,,,2,10,,,,,,1,0,0,0,2,4,2,4,3,3,4,5,4,4,4,4,5,4,5,4,4,4,,,,4,4,4,4,5,4,,,,4,,,,2,1,2,2,2,,,,3,5,5,5,2,,,,1,SAN RAFAEL,94901,US,6,7,2,4,1,2,0,1,1.266708
1529,1142,1708,7,45,1,2,1,15,580,4,2,4,4:30 AM,6:00 AM,2,8,,,,,1,10,,,,,4,2,2,2,2,3,4,2,5,3,3,3,3,3,6,6,6,3,3,6,6,6,4,,,,4,6,6,3,3,3,,,,4,4,,,2,2,2,2,2,,,,7,5,3,3,2,,,,1,LOS ALTOS HILLS,94024,US,4,6,1,4,2,1,2,1,1.266708
1530,1143,1708,7,45,1,2,1,15,580,4,2,4,5:30 AM,6:00 AM,1,8,,,,,2,10,,,,,,2,2,1,1,3,4,2,6,5,5,5,5,5,6,6,5,5,6,6,6,6,5,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,7,5,5,5,2,,,,1,SAN JOSE,95125,US,4,3,1,4,2,1,1,1,1.266708
1531,1144,1708,7,45,1,2,1,15,580,4,2,4,4:15 AM,6:00 AM,1,8,,,,,6,10,,,,,,1,1,1,2,3,1,2,4,5,5,5,4,4,6,6,6,6,6,5,6,6,5,204,,,5,5,6,5,5,5,,,,5,12,,,2,2,2,2,2,1,,,5,5,5,3,1,1,,,3,HOUSTON,77047,US,11,3,2,2,3,2,1,1,1.266708
1532,1145,1708,7,45,1,2,1,15,580,4,2,4,4:00 AM,6:00 AM,2,8,,,,,3,10,,,,,,2,2,1,1,2,2,2,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,1,,,,11,5,5,5,2,,,,3,ATLANTA,,US,12,5,2,2,1,2,2,1,1.266708
1533,1146,1708,7,45,1,2,1,15,580,4,2,4,4:45 AM,6:00 AM,2,8,,,,,2,10,,,,,,2,0,0,0,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,2,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,94121,US,1,5,1,4,2,2,0,1,1.266708
1534,1147,1708,7,45,1,2,1,15,580,4,2,4,4:30 AM,6:00 AM,1,8,,,,,2,10,,,,,,1,1,2,2,4,4,2,5,3,4,5,4,5,5,5,3,5,5,5,5,5,5,900,,,5,5,5,5,5,5,,,,3,,,,2,2,2,2,2,,,,1,5,5,5,2,,,,1,HAYWARD,94541,US,3,2,1,2,3,2,1,1,1.266708
1535,1148,1708,7,45,1,2,1,15,580,4,2,4,5:15 AM,6:00 AM,3,8,,,,,2,10,,,,,,2,1,2,2,1,1,2,3,4,4,4,6,5,6,6,6,6,6,6,6,6,5,,,,2,6,6,6,6,4,,,,4,,,,2,2,2,2,2,,,,6,5,5,3,2,,,,3,COLUMBIA,29212,US,12,3,2,2,2,2,2,1,1.266708
1536,1149,1708,7,45,1,2,1,15,580,4,2,4,5:00 AM,6:00 AM,3,8,,,,,7,10,,,,,,1,2,2,1,3,4,2,3,4,4,5,5,5,6,6,5,4,6,4,6,6,0,,,,4,4,6,4,4,4,,,,5,,,,2,2,2,2,1,,,,9,5,5,5,2,,,,1,SANTA ROSA,95409,US,7,7,1,1,2,2,1,1,1.266708
1537,1127,1720,7,98,3,3,1,31,39,103,6,2,3:20 PM,7:30 PM,2,8,,,,,7,10,,,,,,1,1,2,2,1,1,1,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,236,,,5,6,6,5,6,5,87,,,5,2,,,2,2,2,2,2,,,,5,5,5,5,0,,,,3,,,NEW ZEALAND,19,7,2,1,2,2,2,1,0.595689
1538,1128,1720,7,98,3,3,1,31,39,103,6,2,4:30 PM,7:30 PM,2,8,,,,,4,10,,,,,,1,1,2,2,1,1,1,3,2,2,3,3,6,6,6,6,4,6,6,6,6,2,2,20,204,4,6,6,6,3,4,,,,4,2,3,,2,2,2,2,2,4,,,5,4,4,3,2,,,,3,WELLINGTON,,NEW ZEALAND,19,3,2,4,2,2,2,1,0.595689
1539,1129,1720,7,98,3,3,1,31,39,103,6,2,4:00 PM,7:30 PM,2,8,,,,,11,10,,,,,,1,2,2,2,3,2,1,5,6,6,5,5,5,4,6,5,6,6,6,6,6,5,900,,,5,6,6,6,5,5,,,,5,5,6,,2,2,2,2,1,4,,,5,5,5,5,2,,,,3,ROME,,ITALY,15,3,2,1,2,2,2,1,0.595689
1540,1130,1720,7,98,3,3,1,31,39,103,6,2,3:00 PM,7:30 PM,2,8,,,,,8,10,,,,,,1,2,1,1,2,2,1,3,2,3,5,5,4,4,6,4,3,2,3,6,5,4,1,2,,5,4,5,5,4,4,,,,5,24,,,1,2,2,1,1,14,,,5,3,3,5,2,,,,3,BERLIN,,GERMANY,15,3,1,1,2,2,2,1,0.595689
1541,1131,1720,7,98,3,3,1,31,39,103,6,2,5:00 PM,7:30 PM,2,8,,,,,5,10,,,,,,1,2,2,1,2,4,1,5,4,4,5,5,5,6,6,5,5,6,5,6,6,5,108,900,,5,5,6,5,5,5,,,,5,4,,,2,2,1,2,1,4,3,,2,5,5,4,2,,,,1,LAFAYETTE,94549,US,5,7,1,3,2,2,1,1,0.595689
1542,1132,1720,7,98,3,3,1,31,39,103,6,2,4:00 PM,7:30 PM,3,8,,,,,6,10,,,,,,1,2,1,1,1,4,2,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,128,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,2,,,,4,0,4,4,0,,,,1,NAPA,94558,US,9,7,1,3,2,2,2,1,0.595689
1543,1133,1720,7,98,3,3,1,31,39,103,6,2,4:30 PM,7:30 PM,3,8,,,,,8,10,,,,,,1,1,1,1,3,4,2,4,3,3,5,5,5,6,6,4,4,3,5,6,4,4,2,,,5,5,1,1,1,1,,,,5,2,,,2,2,2,2,1,,,,5,5,5,5,2,,,,3,BASEL,,SWITZERLAND,15,4,2,0,2,0,2,1,0.595689
1544,1134,1720,7,98,3,3,1,31,39,103,6,2,3:40 PM,7:30 PM,2,8,,,,,3,10,,,,,,0,2,2,0,2,1,2,5,6,4,4,5,5,5,5,5,6,0,0,0,0,5,,,,5,0,0,0,5,5,,,,5,,,,2,2,2,2,2,,,,11,6,6,5,2,,,,3,,,US,10,5,2,0,2,2,2,1,0.595689
1545,1135,1720,7,98,3,3,1,31,39,103,6,2,4:00 PM,7:30 PM,3,8,,,,,1,10,,,,,2,1,2,1,1,1,4,2,3,3,4,3,4,4,3,3,1,3,4,6,6,6,4,,,,5,6,6,4,4,5,,,,5,1,,,2,2,2,2,1,10,,,24,5,5,4,2,,,,3,OSLO,,NORWAY,15,3,2,2,3,1,2,1,0.595689
1546,3018,2518,15,97,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,2,2,2,1,4,1,3,6,4,4,4,4,6,6,6,6,6,6,6,6,4,,,,5,6,6,6,3,4,,,,5,20,,,2,2,2,2,2,,,,12,5,5,5,2,,,,3,COPENHAGEN,,DENMARK,15,7,2,2,2,2,2,1,0.595689
1547,3019,2518,15,97,3,3,1,27,436,106,6,2,3:50 PM,5:35 PM,2,8,,,,,6,10,,,,,,1,2,2,2,1,1,1,4,6,6,4,4,4,6,6,6,6,6,6,6,6,4,,,,4,6,6,6,5,4,,,,4,20,,,2,2,2,2,2,,,,12,5,5,4,2,,,,3,SLAGEASE,,DENMARK,15,7,0,2,3,2,2,1,0.595689
1548,3020,2518,15,97,3,3,1,27,936,106,6,2,3:15 PM,5:35 PM,1,2,3,8,,,2,10,,,,,,2,2,2,1,3,4,1,5,6,3,4,4,4,6,6,0,0,0,0,0,0,4,,,,4,6,6,6,6,4,,,,5,5,,,1,2,2,2,1,3,,,7,5,5,5,2,,,,1,MILPITAS,95035,US,4,5,1,3,3,1,1,1,0.595689
1549,3021,2518,15,97,3,3,1,27,936,106,6,2,12:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,2,1,1,2,4,1,5,3,3,5,5,5,6,6,1,6,6,6,6,6,5,1,,,5,6,6,4,5,5,89,,,5,1,2,,2,2,2,2,1,2,,,7,5,5,5,2,,,,1,CUPERTINO,95014,US,4,5,1,4,2,1,1,1,0.595689
1550,3022,2518,15,97,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,2,2,2,3,4,1,3,6,6,5,6,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,6,6,5,,,,5,5,,,2,2,2,2,2,,,,1,5,5,5,2,,,,1,CASTRO VALLEY,,US,3,7,2,0,1,2,2,1,0.595689
1551,3023,2518,15,97,3,3,1,27,936,106,6,2,12:12 PM,5:35 PM,3,8,,,,,6,10,,,,,,1,2,1,1,2,1,1,5,3,6,4,4,5,6,6,6,6,6,6,6,6,4,,,,5,6,6,5,5,5,,,,4,29,,,1,1,2,1,1,,,,12,5,5,5,2,,,,3,STOCKHOLM,,SWEDEN,15,6,2,0,2,2,2,1,0.595689
1552,3025,2518,15,97,3,3,1,27,936,106,6,2,3:20 PM,5:35 PM,2,8,,,,,3,10,,,,,,2,2,1,2,1,2,1,6,4,6,4,5,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,2,,,2,2,2,2,2,,,,11,5,5,6,2,,,,3,LUNDO,,DENMARK,15,7,1,0,1,2,2,1,0.595689
1553,3024,2518,15,97,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,1,8,,,,,7,10,,,,,,2,1,1,1,2,4,2,4,4,4,3,3,4,6,6,4,6,6,6,6,6,4,,,,5,6,6,4,6,4,,,,5,24,,,1,2,2,2,1,,,,5,4,4,5,2,,,,3,UPSALA,,SWEDEN,15,4,1,3,1,2,2,1,0.595689
1554,3026,2518,15,97,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,3,8,,,,,8,10,,,,,,1,1,1,1,3,2,2,5,3,3,3,3,3,3,3,6,4,4,4,4,4,4,,,,4,4,2,3,6,3,,,,3,,,,2,2,2,2,2,,,,5,2,4,5,1,27,,,1,,,US,90,4,1,4,4,2,2,1,0.595689
1555,3027,2518,15,97,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,1,8,,,,,8,10,,,,,,1,2,1,1,1,1,2,4,3,2,4,4,4,6,6,3,4,4,4,4,6,4,,,,4,5,5,4,3,4,,,,4,20,,,2,2,2,2,1,,,,5,3,5,5,2,,,,3,JOLRYE,,DENMARK,15,3,2,2,2,2,2,1,0.595689
1556,3028,2518,15,97,3,3,1,27,936,106,6,2,1:30 PM,5:35 PM,5,8,,,,,7,10,,,,,,1,1,1,1,1,2,2,3,3,3,3,4,3,3,3,4,6,6,6,6,6,4,,,,3,6,6,6,6,6,,,,4,,,,1,2,2,2,1,,,,5,3,3,3,0,,,,3,COPENHAGEN,,DENMARK,15,3,2,3,2,2,2,1,0.595689
1557,3029,2518,15,97,3,3,1,27,936,106,6,2,2:05 PM,5:35 PM,2,3,8,,,,2,10,,,,,,1,1,2,1,2,4,2,4,3,3,4,5,5,4,4,4,3,4,6,6,6,4,900,,,5,4,6,3,4,4,,,,5,,,,2,2,2,2,1,,,,7,5,4,5,2,,,,1,LOS ALTOS,94022,US,4,7,1,3,2,1,2,1,0.595689
1558,3030,2518,15,97,3,3,1,27,936,106,6,2,1:00 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,0,1,0,2,4,2,6,3,3,3,3,3,3,3,3,3,3,6,6,6,3,,,,4,0,3,4,0,4,,,,3,,,,0,0,0,0,0,,,,13,0,3,3,2,,,,2,STOCKTON,95210,US,10,7,2,2,3,2,2,1,0.595689
1559,3031,2518,15,97,3,3,1,27,936,106,6,2,2:30 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,2,2,1,3,4,2,6,6,6,5,5,5,5,5,4,4,4,6,6,6,5,,,,5,6,6,6,5,5,,,,5,,,,1,2,1,2,1,,,,6,5,5,5,2,,,,3,COPENHAGEN,,DENMARK,15,7,1,3,2,2,2,1,0.595689
1560,3032,2518,15,97,3,3,1,27,936,106,6,2,2:30 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,2,1,3,3,4,2,6,6,6,5,5,5,5,5,4,4,4,6,6,6,5,,,,5,6,6,6,5,5,,,,5,,,,1,2,2,2,1,,,,6,5,5,5,2,,,,3,COPENHAGEN,,SWEDEN,15,7,2,3,2,2,2,1,0.595689
1561,3033,2518,15,97,3,3,1,27,936,106,6,2,3:15 PM,5:35 PM,2,8,,,,,6,10,,,,,,1,2,2,2,1,1,2,4,0,0,4,4,4,0,0,0,0,0,0,0,0,4,,,,4,0,0,0,4,0,,,,3,,,,2,2,2,2,2,,,,5,4,4,4,3,,,,3,DALMOSE,,DENMARK,15,6,2,2,3,2,2,1,0.595689
1562,3034,2518,15,97,3,3,1,27,936,106,6,2,12:10 PM,5:35 PM,4,8,,,,,3,10,,,,,,1,2,2,2,2,1,2,3,6,6,4,4,3,6,6,6,6,6,6,6,6,3,,,,5,6,6,6,3,4,,,,3,,,,2,2,2,2,2,,,,11,5,4,5,2,,,,3,HILLSBORO,97124,US,10,3,2,1,2,2,2,1,0.595689
1563,3035,2518,15,97,3,3,1,27,936,106,6,2,12:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,1,2,2,1,1,2,6,6,3,5,5,5,4,5,6,6,6,6,6,6,5,,,,3,6,6,6,2,3,,,,3,,,,3,3,3,3,3,,,,5,3,5,5,2,,,,3,BEABRAND,,DENMARK,15,6,2,0,2,2,2,1,0.595689
1564,3036,2518,15,97,3,3,1,27,936,106,6,2,2:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,1,2,2,1,1,2,6,6,3,5,5,5,4,4,6,6,6,6,6,6,5,,,,3,6,6,6,3,3,,,,3,,,,2,2,2,2,2,,,,5,3,5,5,2,,,,3,BEABRAND,,SWEDEN,15,6,1,0,2,2,2,1,0.595689
1565,3037,2518,15,97,3,3,1,27,936,106,6,2,1:30 PM,5:35 PM,2,8,,,,,2,10,,,,,,1,1,1,1,1,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,3,3,3,3,4,3,,,,4,2,,,1,2,2,2,1,,,,2,5,5,5,2,,,,1,CONCORD,94518,US,5,5,1,4,2,2,2,1,0.595689
1566,3038,2518,15,97,3,3,1,27,936,106,6,2,2:15 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,0,1,0,1,4,2,0,0,4,4,0,0,0,0,0,4,0,0,0,0,4,,,,0,0,0,0,3,3,,,,4,,,,0,0,0,0,0,,,,12,0,4,4,2,,,,2,COLUMBIA,95310,US,10,7,1,0,2,2,2,1,0.595689
1567,3039,2518,15,97,3,3,1,27,936,106,6,2,3:30 PM,5:35 PM,2,8,,,,,16,10,,,,,,1,1,1,0,1,1,2,4,0,3,4,4,4,6,6,0,0,0,0,0,5,4,,,,4,6,6,4,4,4,,,,5,,,,2,2,2,2,1,,,,5,4,4,4,2,,,,3,NYBOLING,,DENMARK,15,7,1,2,2,2,2,1,0.595689
1568,3040,2518,15,97,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,2,8,,,,,2,10,,,,,,0,1,0,0,1,1,2,0,3,3,3,5,3,4,4,1,0,0,0,0,0,3,,,,3,3,3,3,3,3,,,,3,,,,2,2,2,2,2,,,,5,1,5,3,2,,,,3,,,,99,6,1,0,2,2,2,1,0.595689
1569,3041,2518,15,97,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,2,8,,,,,16,10,,,,,,2,1,2,2,0,0,2,3,3,3,3,4,4,4,4,6,0,0,0,0,0,3,,,,5,6,6,6,5,5,,,,3,,,,3,3,3,3,3,,,,5,4,4,4,2,,,,3,COPENHAGEN,,DENMARK,15,7,1,2,2,2,2,1,0.595689
1570,3042,2518,15,97,3,3,1,27,936,106,6,2,2:00 PM,5:35 PM,3,8,,,,,2,10,,,,,,1,0,1,0,1,2,2,6,3,3,3,4,4,4,4,6,6,6,6,6,6,4,900,,,5,6,6,2,4,4,,,,5,12,,,3,3,3,3,3,,,,30,5,5,5,2,,,,3,COPENHAGEN,,DENMARK,15,7,2,2,3,2,2,1,0.595689
1571,3043,2518,15,97,3,3,1,27,936,106,6,2,2:45 PM,5:35 PM,3,8,,,,,1,10,,,,,4,1,2,1,2,2,3,2,5,4,3,4,4,3,3,3,4,4,3,3,6,3,4,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,1,,,,1,5,4,3,2,,,,1,FREMONT,94593,US,3,4,1,4,2,2,2,1,0.595689
1572,3044,2518,15,97,3,3,1,27,936,106,6,2,3:00 PM,5:35 PM,2,3,8,,,,3,10,,,,,,2,2,1,1,2,4,2,5,5,5,5,3,5,6,6,5,6,6,6,6,6,4,,,,5,5,6,5,5,5,,,,5,,,,2,2,2,2,1,6,,,11,0,3,6,2,,,,3,EUGENE,97408,US,10,7,1,1,2,2,2,1,0.595689
1573,2988,2509,15,93,3,1,1,5,7,5,9,2,4:40 PM,9:45 PM,2,8,,,,,5,10,,,,,,1,2,2,1,1,3,1,6,6,6,4,5,5,6,6,2,6,6,6,6,6,4,,,,5,6,6,6,5,5,,,,5,5,,,2,2,2,2,1,5,,,22,0,5,5,2,,,,2,TRUCKEE,96161,US,10,2,1,1,2,2,2,1,0.595689
